Date,COT_Open_Interest,COT_NonComm_Long,COT_NonComm_Short,COT_NetSpec
2018-05-01,715229,203301,99934,103367
2018-05-08,699566,191839,88299,103540
2018-05-15,740326,182272,101695,80577
2018-05-22,730741,167912,90502,77410
2018-05-29,670827,189253,76499,112754
2018-06-05,648436,180812,73567,107245
2018-06-12,651671,185374,69914,115460
2018-06-19,691070,181231,97481,83750
2018-06-26,664598,181874,116883,64991
2018-07-03,714279,195827,129508,66319
2018-07-10,719736,197589,128533,69056
2018-07-17,768264,193798,154907,38891
2018-07-24,751269,197879,165548,32331
2018-07-31,661303,191548,174615,16933
2018-08-07,684599,187470,194465,-6995
2018-08-14,741105,190922,216271,-25349
2018-08-21,772428,192353,216317,-23964
2018-08-28,719898,194185,211137,-16952
2018-09-04,717213,178426,212682,-34256
2018-09-11,713486,176273,204790,-28517
2018-09-18,717124,177441,206360,-28919
2018-09-25,678450,177071,209835,-32764
2018-10-02,690249,178735,213936,-35201
2018-10-09,705337,158844,215842,-56998
2018-10-16,739876,183927,168968,14959
2018-10-23,758944,187549,159145,28404
2018-10-30,720853,162336,156360,5976
2018-11-06,746222,163124,150914,12210
2018-11-13,786537,152829,175760,-22931
2018-11-20,781916,160162,155544,4618
2018-11-27,629993,153169,155689,-2520
2018-12-04,602198,173697,120977,52720
2018-12-11,616571,171352,102651,68701
2018-12-18,649633,187680,100183,87497
2018-12-24,716336,218002,86647,131355
2018-12-31,705063,226143,81238,144905
2019-01-08,706555,211813,90522,121291
2019-01-15,758539,215794,102817,112977
2019-01-22,767712,198900,101961,96939
2019-01-29,731659,230729,106540,124189
2019-02-05,742347,233655,102889,130766
2019-02-12,735815,228856,102304,126552
2019-02-19,826311,270316,99688,170628
2019-02-26,742474,255148,94213,160935
2019-03-05,699480,203709,106313,97396
2019-03-12,773326,215315,116463,98852
2019-03-19,774937,217719,105592,112127
2019-03-26,744171,226844,89719,137125
2019-04-02,658649,194833,95862,98971
2019-04-09,677719,206809,89464,117345
2019-04-16,674009,177281,121565,55716
2019-04-23,673157,166966,130944,36022
2019-04-30,637690,177741,107592,70149
2019-05-07,665348,186303,108157,78146
2019-05-14,740685,228224,99775,128449
2019-05-21,724237,191767,112079,79688
2019-05-28,669686,194997,109463,85534
2019-06-04,720079,252842,77176,175666
2019-06-11,764776,260843,54903,205940
2019-06-18,858867,291475,55943,235532
2019-06-25,1014917,338456,59492,278964
2019-07-02,1031393,344370,49547,294823
2019-07-09,1010098,330682,56127,274555
2019-07-16,1038695,338248,58974,279274
2019-07-23,1088147,338099,58268,279831
2019-07-30,964960,347815,54968,292847
2019-08-06,1112432,402556,55933,346623
2019-08-13,1183351,396224,51957,344267
2019-08-20,1189816,398983,49336,349647
2019-08-27,1215303,415245,53872,361373
2019-09-03,1217186,414616,49918,364698
2019-09-10,1125346,361265,51491,309774
2019-09-17,1177110,373773,45464,328309
2019-09-24,1247777,404388,46423,357965
2019-10-01,1050013,347010,45509,301501
2019-10-08,1078067,364413,47494,316919
2019-10-15,1058248,341008,57789,283219
2019-10-22,1064778,345675,55143,290532
2019-10-29,1034568,358854,56439,302415
2019-11-05,1071020,363564,61883,301681
2019-11-12,1087776,327426,60236,267190
2019-11-19,1105336,348365,49178,299187
2019-11-26,926134,326130,55994,270136
2019-12-03,983549,353144,56057,297087
2019-12-10,964413,327223,58277,268946
2019-12-17,1003799,346765,55239,291526
2019-12-24,1072332,376789,54656,322133
2019-12-31,1099823,404435,53347,351088
2020-01-07,1197110,418349,60853,357496
2020-01-14,1170516,399791,57702,342089
2020-01-21,1189723,400893,57947,342946
2020-01-28,1068985,404290,49922,354368
2020-02-04,1002910,370971,59564,311407
2020-02-11,1013330,377807,50440,327367
